FORWARD_TEXT_FORMAT_1.0
STDEP =   208.0410
ENDEP =  2542.0400
RLEV  =     0.1250
CURVENAME =  AC, CAL, GR, R4_0, RILD, RILM, RLL8, RT
END
#DEPTH            AC        CAL         GR       R4_0       RILD       RILM       RLL8         RT
 230.9160     294.962     22.546     58.716     -0.514     55.294   2000.000      0.415  -9999.000
 231.0410     276.994     22.550     59.238     -0.514     55.110   2000.000      0.416  -9999.000
 231.1660     264.067     22.560     65.789     -0.514     54.537   2000.000      0.416  -9999.000
 231.2910     259.969     22.565     72.921     -0.514     53.957   2000.000      0.416  -9999.000
 231.4160     259.932     22.563     74.946     -0.514     53.994   2000.000      0.415  -9999.000
 231.5410     260.292     22.543     73.240     -0.514     54.729   2000.000      0.415  -9999.000
 231.6660     266.958     22.526     73.854     -0.514     55.411   2000.000      0.415  -9999.000
 231.7910     289.290     22.511     75.831     -0.514     54.950   2000.000      0.415  -9999.000
 231.9160     326.145     22.511     78.012     -0.514     53.011   2000.000      0.415  -9999.000
 232.0410     358.087     22.531     77.146     -0.514     50.420   2000.000      0.415  -9999.000
 232.1660     358.410     22.550     75.807     -0.514     48.052   2000.000      0.415  -9999.000
 232.2910     339.960     22.552     75.667     -0.514     46.881   2000.000      0.415  -9999.000
 232.4160     328.082     22.541     75.643     -0.514     47.178   2000.000      0.415  -9999.000
 232.5410     333.403     22.525     75.019     -0.514     48.706   2000.000      0.415  -9999.000
 232.6660     341.437     22.507     75.957     -0.514     49.322   2000.000      0.415  -9999.000
 232.7910     335.875     22.501     77.088     -0.514     47.273   2000.000      0.415  -9999.000
 232.9160     315.180     22.517     76.305     -0.514     41.359   2000.000      0.414  -9999.000
 233.0410     286.403     22.538     73.723     -0.514    229.403   2000.000      0.414  -9999.000
 233.1660     265.459     22.537     70.730     -0.514    617.601   2000.000      0.414  -9999.000
 233.2910     263.136     22.516     67.989     -0.514   1143.055   2000.000      0.415  -9999.000
 233.4160     276.153     22.496     62.869     -0.514   1614.843   2000.000      0.415  -9999.000
 233.5410     289.005     22.510     58.870     -0.514   1878.915   2000.000      0.415  -9999.000
 233.6660     282.800     22.524     58.532     -0.514   1792.666   2000.000      0.415  -9999.000
 233.7910     261.103     22.533     59.595     -0.514   1462.469   2000.000      0.414  -9999.000
 233.9160     241.907     22.582     62.255     -0.514   1552.058   2000.000      0.410  -9999.000
 234.0410     246.900     22.830     67.670     -0.514   1820.823   2000.000      0.394  -9999.000
 234.1660     285.379     23.719     75.072     -0.514   2000.000   2000.000      0.352  -9999.000
 234.2910     330.488     25.913     84.524     -0.514   2000.000   2000.000      0.311  -9999.000
 234.4160     357.080     28.823    100.939     -0.514   2000.000   2000.000      0.345  -9999.000
 234.5410     353.625     31.036    124.316     -0.514   2000.000   2000.000      0.730  -9999.000
 234.6660     326.086     31.898    143.453     -0.514   2000.000   2000.000      5.102  -9999.000
 234.7910     299.295     31.154    149.574     -0.514   2000.000   2000.000     12.445  -9999.000
 234.9160     287.148     28.606    143.801     -0.514   2000.000   1850.352     15.785  -9999.000
 235.0410     289.541     25.663    129.596     -0.514   1800.166   1401.211     14.761  -9999.000
